Sample,Experiment,Time,H2,Std_Dev
Water,<45um,0,0.074931427,0.018496399
Water,<45um,3,-0.009439543,0.002623504
Water,<45um,7,-0.016338627,0.003403651
Water,<45um,12,-0.017963721,0.004971669
Water,<45um,24,-0.021182736,0.005010006
Water,<45um,48,-0.028858325,0.006491973
Granite only,<45um,0,0.984787948,0.739173838
Granite only,<45um,3,-0.088403694,0.209814394
Granite only,<45um,7,-0.03668527,0.142955142
Granite only,<45um,12,-0.134434776,0.223641158
Granite only,<45um,24,-0.178449161,0.241123621
Granite only,<45um,48,-0.170398361,0.243588153
Sandstone only,<45um,0,0.304102889,0.100316014
Sandstone only,<45um,3,-0.02616511,0.055308872
Sandstone only,<45um,7,-0.055836477,0.014584298
Sandstone only,<45um,12,-0.07751973,0.017519478
Sandstone only,<45um,24,-0.064082467,0.092408734
Sandstone only,<45um,48,-0.060249792,0.074287879
Basalt only,<45um,0,0.460405028,0.276970935
Basalt only,<45um,3,-0.044205996,0.017224598
Basalt only,<45um,7,-0.032865931,0.021618246
Basalt only,<45um,12,0.015903856,0.100383291
Basalt only,<45um,24,-0.130033942,0.078643346
Basalt only,<45um,48,-0.17688795,0.039206937
Granite + Water,<45um,0,4.067751906,4.260906706
Granite + Water,<45um,3,182.5082404,21.8078929
Granite + Water,<45um,7,333.3388506,69.30590209
Granite + Water,<45um,12,348.8385079,23.66096766
Granite + Water,<45um,24,269.4290876,29.86541924
Granite + Water,<45um,48,201.3570695,56.69971189
Sandstone + Water,<45um,0,0.204063394,0.220782988
Sandstone + Water,<45um,3,38.26435419,1.070598668
Sandstone + Water,<45um,7,202.6683938,25.37544733
Sandstone + Water,<45um,12,227.6747859,28.13993839
Sandstone + Water,<45um,24,191.8160042,16.19286262
Sandstone + Water,<45um,48,156.6373962,42.90863708
Basalt + Water,<45um,0,0.251926932,0.140755436
Basalt + Water,<45um,3,25.8736469,18.81362063
Basalt + Water,<45um,7,199.710571,25.47908846
Basalt + Water,<45um,12,288.7090894,27.66120647
Basalt + Water,<45um,24,205.440382,22.52278429
Basalt + Water,<45um,48,230.087532,15.85416313
