Sample,Time,H2O2,Std_Dev
H2O_Basalt,2,2.162123333,0.095225275
H2O_Basalt,4,1.876951556,0.277394934
H2O_Basalt,8,1.776721111,0.187531632
H2O_Basalt,12,2.371330667,1.108039234
H2O_Basalt,24,1.975094667,0.095423411
H2O_Basalt,48,1.875251778,0.116612134
H2O_Granite,2,1.319414667,0.183681473
H2O_Granite,4,1.59848,0.060299692
H2O_Granite,8,1.392659889,0.118456749
H2O_Granite,12,2.719043111,0.295073627
H2O_Granite,24,2.525497333,0.614635159
H2O_Granite,48,2.47235,0.061459024
H2O_Sandstone,2,1.859633333,0.084883035
H2O_Sandstone,4,1.586136,0.341333307
H2O_Sandstone,8,1.743959111,0.066174195
H2O_Sandstone,12,1.599677333,0.099226834
H2O_Sandstone,24,3.92732,1.528890728
H2O_Sandstone,48,1.948779,0.08135219
H2O_Seawater,2,0.009490667,0.884292986
H2O_Seawater,4,-1.495619556,0.247717765
H2O_Seawater,8,-1.444066667,0.116214082
H2O_Seawater,12,-1.512144444,0.086411112
H2O_Seawater,24,-0.974782,0.085523828
H2O_Seawater,48,-1.562194222,0.157143652
