Sample,Experiment,Time,H2O2,Std_Dev
Granite,106-150um,2,3.227820889,0.381896326
Granite,106-150um,4,3.794328889,0.185623084
Granite,106-150um,8,3.381538889,0.13587921
Granite,106-150um,12,3.955805333,0.389242798
Granite,106-150um,24,4.861719556,0.665917595
Granite,106-150um,48,4.900083333,0.244000104
Sandstone,106-150um,2,4.320077778,0.683268213
Sandstone,106-150um,4,3.584415111,0.359280424
Sandstone,106-150um,8,4.036778,0.437350859
Sandstone,106-150um,12,4.266895889,0.565145353
Sandstone,106-150um,24,4.524404444,0.536098161
Sandstone,106-150um,48,4.161717,0.59571594
Basalt,106-150um,2,4.135057778,0.135368458
Basalt,106-150um,4,4.572965778,0.208787145
Basalt,106-150um,8,4.542480222,0.39532618
Basalt,106-150um,12,4.498472,0.815086421
Basalt,106-150um,24,4.429350667,0.148979753
Basalt,106-150um,48,5.152917556,0.332887456
